鮹	鮹󠄀
鯆	鯆󠄀
鯖	鯖󠄁
鯛	鯛󠄁
鯡	鯡󠄀
鯱	鯱󠄀
鯲	鯲󠄀
鰈	鰈󠄀
鰤	鰤󠄀
鰯	鰯󠄁
鱈	鱈󠄁
鱒	鱒󠄁
鱗	鱗󠄁
鳦	鳦󠄁
鴇	鴇󠄀
鴈	鴈󠄀
鴉	鴉󠄁
鵈	鵈󠄀
鵠	鵠󠄁
鵬	鵬󠄁
鶴	鶴󠄁
鶿	鶿󠄁
鷀	鷀󠄁
鷂	鷂󠄀
鷏	鷏󠄀
麗	麗󠄁
麟	麟󠄂
麥	麥󠄀
麪	麪󠄀
麭	麭󠄀
麻	麻󠄁
麿	麿󠄁
黌	黌󠄀
黛	黛󠄁
鼈	鼈󠄂
鼻	鼻󠄁
齊	齊󠄀
齋	齋󠄀
齎	齎󠄀
齧	齧󠄀
龍	龍󠄂
龜	龜󠄁
龝	龝󠄁
﨑	﨑󠄀
﨤	﨤󠄀
𣗄	𣗄󠄀
𣘺	𣘺󠄀
𣠽	𣠽󠄀
𤋮	𤋮󠄀
𦉰	𦉰󠄀
𩵋	𩵋󠄀
𩸽	𩸽󠄀
𪘚	𪘚󠄁
